496586299
CCR6,0.422402077,0.333366947
TTLL6,0.27282951,1.655714849
TFAP2B,3.659341451,3.480880804
WFDC3,0.155794733,0.127227975
ZNF534,0.19950779,0.149728251
SCNN1B,0.286599528,0.115037224
C17orf61-PLSCR3,0.146414153,0.127209636
ISM2,0.126279452,0.137766348
HOXA6,0.42929039,0.163262905
CHST12,1.075619259,0.143623376
RP11-508N12.4,0.530412615,0.237195
CNR2,0.271353291,0.104291215
KRBOX1,0.577285162,0.100067775
MPPED1,0.278510568,0.460156137
MRPL30,0.511940308,0.628563
IL9R,0.147935146,0.190390339
MYLPF,0.181140917,0.116678222
USP9Y,3.39330561,0.105544495
EID2B,1.38214036,0.1
OGFOD1,4.966292886,4.426963047
SACS,6.588253245,3.145104213
IGF1R,6.144486735,7.678029972
SLC30A9,13.80381973,14.36996462
TFCP2L1,0.459772545,0.177716892
CSNK2A1,13.55220774,12.67623476
SUPT16H,13.1070856,15.73773792
CEP170,16.14825254,24.38687238
UBXN11,1.151689801,0.783661525
ATG16L2,1.714737652,0.608115117
SLC38A6,3.570470724,2.532940773
EPB41L5,4.804247934,5.472515825
SMIM19,3.76025277,3.060116771
CDKAL1,9.133125217,7.428901271
ZFYVE20,3.809022237,2.790147683
DRG1,14.70563787,12.16013429
NDRG3,19.02560257,22.12461559
LRCH4,2.005133941,2.41832932
PCGF6,2.72525471,1.943579232
ZRANB3,1.227361178,1.200830712
SCRN3,4.428880691,6.93872866
SLC39A9,5.785838796,7.137472674
PPP3CA,8.421588991,8.648239646
FAM110A,0.969181146,0.874372681
SLC22A18,0.62920845,0.207931683
MMP15,5.016039412,3.610185853
NOL11,10.11542653,22.60741969
SPOCK3,1.778233883,0.456250858
PPP2CB,14.15655867,16.89664864
PCM1,20.98582734,18.32996142
CKS1B,2.638282308,1.214118464
STAM2,8.768582332,10.77111649
BTRC,4.364125175,7.204128966
PHIP,11.78352339,13.8838149
PRUNE2,18.23221519,32.39244661
NGFRAP1,36.69581279,32.62179203
GUCY2C,0.234864893,0.151743819
TBC1D5,8.180000258,9.028971151
CSNK1G3,10.89581524,12.16226327
PPP2R5D,12.55508408,8.598604938
SETD2,10.31116521,10.40176387
MTMR9,4.168512986,5.688979341
TMEM128,4.364018066,9.135741862
NEU4,0.139108128,0.142921553
KLHL23,5.584151261,7.146107371
SECISBP2L,16.87451655,5.874835263
CARS2,3.171151095,2.445667382
ABCA7,1.528868612,0.653367054
TCEAL1,9.519153241,12.87349262
MAP2K4,4.966607358,5.4523983
GALNT16,3.935191718,4.647050526
TENM3,11.84882686,19.27108259
KPNA5,6.168191096,14.73221209
TMEM246,1.819920688,11.57384434
ALOX15B,3.07451485,0.934844318
SETD5,5.257517244,3.157301816
NAA60,1.812404567,1.043555822
ANKRD36C,9.127013213,10.71943782
MEF2BNB-MEF2B,0.588719898,0.370589139
RUFY2,5.622458482,8.072325115
BRD2,14.93839961,9.200602611
SNX25,4.786550711,4.793360012
C20orf197,0.334046077,0.543243
FAM167B,0.801421615,0.922725
ANGPT2,2.026395848,2.105406587
SPI1,5.019458298,2.069085188
GMEB1,1.856537701,1.014316455
PGM3,7.259323802,9.108963316
RP11-723O4.6,0.24923793,0.203397193
SIDT2,3.074499057,1.88440758
ADCK4,2.235843468,3.040927527
PRKCZ,2.867288406,1.428555164
CHD2,7.183061213,6.070768892
TTBK2,7.265032881,7.617058297
ANKRD13D,4.061407903,8.62494437
GNRHR,0.709756419,0.400537
CLDND1,7.987917243,8.393106284
TBXAS1,5.179268178,1.534048773
QSER1,8.07419033,9.11526494
PPP1R1B,0.348830796,0.232800671
CTSB,61.56598941,26.75184924
RMDN1,6.690726616,4.474354901
BDKRB2,0.64883039,0.872594704
RP11-729L2.2,0.535699111,0.758456086
MAPK10,4.455196464,5.563214347
FARSB,8.774968493,8.691085167
CD63,78.34568929,59.49266
MBD4,7.383909098,7.038723147
NCOA7,20.72860212,36.35719391
GUCY2D,0.193448067,0.666147838
IL7,2.769773654,6.190298378
ZNF778,2.22688609,4.720269262
CMTM2,0.312645734,0.354572184
SCT,0.423465538,0.366148
MRC2,7.428735351,1.365260486
SLC2A1,5.565139373,4.927712886
XRCC6BP1,2.615816078,1.433338134
CTTNBP2NL,4.703020358,4.908311493
FLVCR1,4.688831066,6.228050792
TMEM131,4.053222554,2.171072578
METTL15,2.619513133,1.779747897
TRIP12,15.49731134,11.62274854
GUF1,5.654619667,6.587410608
RPL12,143.4536165,72.88811502
TBC1D10C,1.026081035,1.042030526
MIER1,4.878980095,3.953983046
RTN4R,0.899186573,1.899375242
IFT81,2.181291152,4.306743001
ZNF800,6.503746076,19.61236983
C2orf15,3.041735353,2.763442413
SCO1,5.586555961,6.320981637
RGS14,1.7996142,1.673266647
CAD,3.494969247,3.251905523
CEP41,1.295067385,2.268907431
STPG2,0.263706996,0.264774175
ALG10B,1.088205144,1.047735989
NCF4,5.711437857,2.24224254
GRM2,0.233559033,0.177842172
HSF4,1.097947258,0.810934318
IQCH,0.582085003,0.84472154
ZNF397,3.317164903,5.207611412
44081,21.60029877,15.47535108
CTDSP1,7.198797717,3.183760004
MAP3K13,1.578149756,1.911442805
CRIP2,10.30371337,25.43074744
SCLT1,3.093244582,4.618478603
LRRC49,3.429489634,5.081356507
C5orf63,0.721361241,1.637737197
PARVG,2.441805481,0.942200774
SH3D21,0.844278663,0.609413987
ADAM22,5.196841711,7.709616154
CD180,2.157073414,0.371828268
PSMD12,12.6215156,30.57132474
MFSD2A,1.529413195,0.813323028
C3orf67,0.629692867,1.30151914
TRERF1,2.064118257,1.383188263
WDR35,4.413571398,6.094795198
ZC3HAV1,8.502398254,4.024821805
TYK2,6.136607484,3.814594214
ASB14,0.779696737,1.033730923
INPP5F,12.26892961,8.005919585
PAOX,1.722773911,1.822295591
ZKSCAN5,2.917809997,6.378480202
N4BP1,5.370438676,4.269698415
MED31,3.758249214,4.487582326
PPFIA2,2.825495622,3.369865113
FAM122B,3.434264577,19.71004628
KIAA1211,5.367240483,6.647812876
HLA-DRA,438.4915233,152.1421208
SH2D1B,0.492934699,0.526308158
MYOM1,1.368504406,0.440672567
ALOX5,4.968161204,1.398917666
SERPINA5,3.142908528,3.583142576
EXOC4,13.36209571,14.83356167
CCNL2,6.259899622,2.54869346
ZNF318,3.197514377,2.362206796
PTPN5,1.594625113,3.153781194
RHOT2,3.952928187,3.861595625
RPL18A,80.23673553,35.80541155
POLE,1.553674525,0.558154818
CADM3,22.54828383,19.76826097
PMS2,6.729102661,9.955420029
DNALI1,1.531486918,2.478222531
FAM96A,9.992421396,8.54774659
NIPBL,9.483894558,6.106683265
PIN4,1.658076268,3.563958747
SPHK1,1.915771854,1.170977387
ITGA2B,0.383739078,0.643212872
POLE3,10.58560681,19.94904258
PABPC1,43.56422163,14.49514471
RASAL3,1.613370653,1.139940806
SEC11C,9.300125246,23.25580734
ARRB2,6.738325466,3.593841149
RAP1GAP2,7.510021688,14.08432948
CYP4F12,0.307608353,0.118256375
CCDC113,1.245200561,2.409544491
PHTF2,3.366791664,2.424875277
MTFR1L,5.964547328,5.224814341
ZNF664,6.259156604,10.67603808
ZC3H12C,2.53946955,2.646636858
C21orf59,5.388077681,5.666266079
FAM122C,0.485093491,0.377848376
PPARD,2.194021286,0.77735445
ATP6V1C2,0.908519695,1.13044501
BIRC2,13.52304357,13.71036155
SETX,18.36744919,24.29475211
BAK1,2.372201429,1.847046226
ARHGEF17,3.887386701,2.108865404
FAT2,0.374770845,0.865298805
MERTK,14.87707519,3.669424876
CRYGS,0.335776071,0.235600943
DNASE2,7.41926314,3.498265029
CTHRC1,5.328187087,1.791258012
LRRC8C,5.207101351,3.822191783
IMPA1,5.613647694,5.222143523
ZNF79,2.348295499,2.113795918
THAP2,2.049256789,3.252993401
ASMTL,1.72914518,0.462760845
CD37,3.144765832,0.841833557
MOV10,2.778211064,1.187700077
ABCA5,5.752174771,11.12987687
BRAF,9.923358823,16.0105589
VILL,1.096210941,0.863873176
CD81,14.35637208,4.343820504
MAPRE2,9.60119995,20.67367978
PPP5C,5.542410697,7.798118623
SV2A,7.606703745,21.75243521
ARPC1B,20.07667618,9.781877668
GEMIN5,5.944547873,8.005773976
GSK3A,2.689466288,2.674779763
PHF3,14.53154788,13.7601386
CDK20,0.937040701,1.864669987
BTBD19,0.65493425,0.129589304
ANKRD12,8.630685868,19.10064204
C9orf116,0.290189999,0.591871134
HBEGF,8.131848732,2.02924028
SCD,39.50994923,18.901733
PID1,5.138531192,0.982043593
SPRED1,4.377168059,2.921162039
TMPRSS11D,0.454381901,0.179608899
CLASRP,2.945908089,2.099017952
